Id,Prenom,PM,PV,PA,Image,Pouvoir,IdPouvoir,Complement Pouvoir,Cout,LienID,Liens,Particularite,Famille,Type
1,Ariane,3,10,35,Ariane,Se déplace n'importe où,1,/,2,3/5/7,Eleo / Maï Rose / Sofia,,Principaux,Attaquant
2,Aude,3,40,10,Aude,Soigne 10 PV,2,10,1,3,Eleo,,Principaux,Defenseur
3,Éléo,3,35,15,Eleo,Immobilise un personnage mais perd 10 PV,3,/,1,1/2,Ariane / Aude,,Principaux,Defenseur
4,Liz,2,30,10,Liz,Toutes les cartes du plateau se retournent,4,Tous,3,0/8,Paul / Stones,,Principaux,Neutre
5,Maï Rose,3,25,20,MaiRose,Coupe tous les liens d'une carte,5,/,2,1,Ariane,,Principaux,Pouvoir
6,Mike,4,20,25,Mike,Fait un lien entre deux personnages,6,/,3,3,Eleo,,Principaux,Pouvoir
7,Sofia,1,25,25,Sofia,Supprime un pouvoir,7,/,3,1/2,Ariane / Aude,,Principaux,Neutre
8,Stones,3,2,30,Stones,Retourne les cartes pièges,4,Piege,1,4,Liz,Si apperçoit Liz : il va dans son camp,Principaux,Robot
9,Vivalie,4,3,10,Vivalie,Choisit une carte de son plateau qui retourne dans son deck,9,,1.5,11/13/0,Sosara / Lié / Mérié,Duo : Sosara,Rose,Robot
10,Dimitri,3.5,35,5,Dimitri,Coupe tous les liens d'une carte,5,,1,9/11/13,Vivalie / Sosara / Lié,,Rose,Defenseur
11,Sosara,3.5,20,10,Sosara,Redirige chaque coup porté à ses liens vers lui,8,,0,9/13/17,Vivalie / Lié / Papuchon,Duo : Vivalie,Rose,Pouvoir
12,Zéréphyr,3,10,35,Zerephyr,Toutes les cartes d'une famille se retournent,4,Famille,2,9/11/13,Vivalie / Sosara / Lié,,Rose,Attaquant
13,Lié,2,15,30,Lie,Invoquer un dieu,10,,2,9/11/0,Vivalie / Sosara / Tina et Néo,,Rose,Attaquant
14,Edwin,1,25,10,Edwin,Échanger deux cartes,11,,1,9/11/13,Vivalie / Sosara / Lié,,Rose,Neutre
15,Loma,1,20,20,Loma,Change de statut,12,Malo,1,0/0,Mérié / Ur et Ura,,Rose,Ambivalent
16,Malo,1,20,20,Malo,Change de statut,12,Loma,1,9/0/0,Vivalie / Mérié / Josh,,Rose,Ambivalent
17,Papuchon,0,20,5,Papuchon,Si tué revient dans la piochesi plus de carte meurt.,13,,0,9/11/13,Sosara / Vivalie / Lié,,Rose,Piège
