Id,Prenom,PM,PV,PA,Image,Pouvoir,IdPouvoir,Complement Pouvoir,Cout,LienID,Liens,Particularite,Famille,Type,Duo,IDPartenaire
1,Ariane,3,10,35,Ariane,Se déplace n'importe où,1,/,2,3/5/7,Eleo / MaiRose / Sofia,,Principaux,Attaquant,FALSE,
2,Aude,3,40,10,Aude,Soigne 10 PV,2,10,1,3,Eleo,,Principaux,Defenseur,FALSE,
3,Éléo,3,35,15,Eleo,Immobilise un personnage mais perd 10 PV,3,/,1,1/2,Ariane / Aude,,Principaux,Defenseur,FALSE,
4,Liz,2,30,10,Liz,Toutes les cartes du plateau se retournent,4,Tous,3,0/8,Paul / Stones,,Principaux,Neutre,FALSE,
5,Maï Rose,3,25,20,MaiRose,Coupe tous les liens d'une carte,5,Tous,2,1,Ariane,,Principaux,Pouvoir,FALSE,
6,Mike,3.5,20,25,Mike,Fait un lien entre deux personnages,6,/,3,3,Eleo,,Principaux,Pouvoir,FALSE,
7,Sofia,1,25,25,Sofia,Supprime un pouvoir,7,/,3,1/2,Ariane / Aude,,Principaux,Neutre,FALSE,
8,Stones,3,2,30,Stones,Retourne les cartes pièges,4,Piege,1,4/0/0,Liz / Orphee / Arezh,Si apperçoit Liz : il va dans son camp,Principaux,Robot,FALSE,
9,Dimitri,3.5,35,5,Dimitri,Coupe tous les liens d'une carte,5,Tous,1,16/15/11,Vivalie / Sosara / Lie,,Rose,Defenseur,FALSE,
10,Edwin,1,25,10,Edwin,Échanger deux cartes,11,/,1,16/15/11,Vivalie / Sosara / Lie,,Rose,Neutre,FALSE,
11,Lié,2,15,30,Lie,Invoquer un dieu,10,/,2,16/15/0,Vivalie / Sosara / NeoTina,,Rose,Attaquant,FALSE,
12,Loma,1,20,20,Loma,Change de statut,12,13,1,0/0,Merie / UrUra,,Rose,Ambivalent,FALSE,
13,Malo,1,40,5,Malo,Change de statut,12,12,1,16/0/0,Vivalie / Merie / Josh,,Rose,Ambivalent,FALSE,
14,Papuchon,0,20,5,Papuchon,Si tué revient dans la pioche si plus de carte meurt,13,/,0,15/16/11,Sosara / Vivalie / Lie,,Rose,Piège,FALSE,
15,Sosara,3.5,20,10,Sosara,Redirige chaque coup porté à ses liens vers lui,8,/,0.5,16/11/14,Vivalie / Lie / Papuchon,200,Rose,Pouvoir,TRUE,16
16,Vivalie,4,3,10,Vivalie,Choisit une carte de son plateau qui retourne dans son deck,9,/,1.5,15/11/0,Sosara / Lie / Merie,200,Rose,Robot,TRUE,15
17,Zéréphyr,3,10,35,Zerephyr,Toutes les cartes d'une famille se retournent,4,Famille,2,16/15/0,Vivalie / Sosara / HeriZellie,,Rose,Attaquant,FALSE,
200,Sosara et Vivalie,4.5,45,10,SosaraVivalie,Choisit une carte de son plateau qui retourne dans son deck,9,/,1.5,11/17/10,Lie / Zerephyr / Edwin,,Rose,Duo,FALSE,15/16
